id;abbreviation;activity;manager;manager_cin
1;red 1080p;Ariary c Gloves;Midi-Pyrénées;Guyane
2;Bedfordshire Dinar Borders;invoice;Île-de-France la Picardie;user-facing
3;salmon leading-edge internet;Mouffetard;technologies copy;a teal
4;c ivory Steel;b Vaneau Dollar;1080p;teal de
5;a withdrawal;Electronics b interfaces;object-oriented Handcrafted;motivating strategic bypassing
6;Palladium c;neural-net Multi-channelled Provence-Alpes-Côte;b;matrix Soap
7;Health;Montorgueil Auto Car;Borders wireless;matrix
8;invoice;Computer a;SDD quantify;a synthesizing
9;maximize Mozambique salmon;models Awesome Quality-focused;Electronics red;orchestration la open-source
10;b Games seize;Digitized;Assistant infrastructure;dot-com unleash a
