id;annual_revenue;cnss;marital_status;occupation;deceased;date_of_death;family_id
1;2958;66859;CELIBATOR;a bandwidth-monitored back-end;true;2022-06-06;1
2;22214;69996;MARRIED;Outdoors;true;2022-06-05;2
3;15574;77631;CELIBATOR;dot-com scalable rich;true;2022-06-06;3
4;50229;94410;DIVORCED;Outdoors Bike composite;false;2022-06-05;4
5;80935;60723;DIVORCED;Mille ability bus;false;2022-06-05;5
6;41588;53884;CELIBATOR;Avon;true;2022-06-05;6
7;13318;81709;DIVORCED;application innovative;true;2022-06-06;7
8;78877;52497;MARRIED;Bedfordshire c User-centric;false;2022-06-05;8
9;38454;46431;DIVORCED;du Granite Concrete;true;2022-06-05;9
10;28508;45650;DIVORCED;Specialiste Practical hack;false;2022-06-05;10
