id;activity;manager;manager_cin
1;Music Slovénie;productize Unbranded;solution Concrete
2;B2C Practical b;Centre;functionalities fresh-thinking time-frame
3;drive Small;Toys Limousin;Account innovate digital
4;Vaneau withdrawal knowledge;tan a e-commerce;Rubber
5;Malaisie;Bike time-frame;maximized Faubourg
6;Industrial 24/365;Sainte-Lucie Rosiers;compressing
7;analyzing;grid-enabled États-Unis incremental;Health GB
8;connect sensor;SMTP;virtual Plastic
9;Electronics Digitized;bypass out-of-the-box;Franc Assimilated back-end
10;Pizza Designer Iranian;FTP;Front-line Practical
